"//Set of 6 Gold Standards described in Torvik VI, Smalheiser NR. A quantitative model for linking two disparate sets of articles in Medline. Bioinformatics 2007; 23(13): 1658-1665. This paper has supplemental files. http://dx.doi.org/10.1093/bioinformatics/btm161",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//target is written as -2 = negative, -1 = unknown, 0 = target, 1= fragment of target, 2 = adjective of target, 3 = target but too general to be useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//some missing values annotated by 99999 (MeSH), 0.9999 (cohesion), or 9999 (year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith search,A-lit size,C-lit size,B-term,target,nA,nC,nof MeSH in common,nof semantic categories,cohesion score,n in MEDLINE,1st year in MEDLINE,pAC,on medium stoplist?,on long stoplist?,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,achille,-1,1,2,0,0,0.271366,2214,1950,0.190650577,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,acid,-1,15,4,0,2,0.077929,303782,1924,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,acquired,-1,11,4,0,1,0.0897754,24359,1949,0.675836979,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,acting,-1,1,1,0,0,0.0803483,9502,1938,0.988009881,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,activated,-1,1,4,0,0,0.111147,33810,1949,0.999998409,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,activation,-1,3,9,0,1,0.097677,83542,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,active,-1,5,4,0,4,0.0692355,50520,1939,0.999999915,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,activity,-1,17,18,6,3,0.0649615,342606,1913,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,activity patient,-1,1,2,0,0,0.0723859,2312,1951,0.207459296,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,acute,-1,43,151,28,1,0.093366,237263,1949,0.005662388,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,additional,-1,4,2,1,4,0.0531692,6831,1935,0.318017017,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adhesion,-1,12,6,4,4,0.148305,24262,1943,0.379911019,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adhesion molecule,-1,1,4,2,3,0.175691,6129,1967,0.399836062,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adhesive,-1,9,1,2,2,0.183007,6475,1949,0.014496503,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adjacent,-1,1,1,99999,1,0.0690107,3508,1949,0.685749082,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adjunct,-1,3,8,0,0,0.0807312,3362,1949,2.67E-05,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adjuvant,-1,3,1,0,2,0.189007,13736,1950,0.98277234,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,administration,-1,3,7,0,1,0.0838835,82871,1936,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adolescent,-1,14,3,0,1,0.122261,44603,1949,0.996456951,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,adult,-1,3,6,0,1,0.0693812,113446,1938,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,advance,-1,6,3,1,1,0.048573,18855,1949,0.888616245,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,advance management,-1,1,1,99999,0,0.0859014,445,1950,0.037178412,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,advanced,-1,10,5,0,1,0.177328,31751,1937,0.940993937,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,advantage,-1,7,5,2,2,0.0507794,6991,1942,0.003562537,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aetiology,-2,2,2,0,2,0.077256,4052,1949,0.295097627,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,affect,-1,2,5,1,1,0.0598874,19607,1938,0.977868743,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,affecting,-1,1,10,5,1,0.061847,15110,1942,0.44489414,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,african,-1,3,2,0,1,0.122415,18902,1949,0.995649228,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,age,-1,21,22,9,1,0.121301,87747,1913,0.988839692,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,age sex,-1,1,1,99999,4,0.204964,3197,1949,0.636343457,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,age year,-1,1,3,0,0,0.140271,1307,1949,0.012698222,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aged,-1,4,19,5,1,0.106728,26783,1916,0.151797605,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aged patient,-1,1,2,0,0,0.127064,1551,1951,0.089610632,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aged year,-1,2,4,2,0,0.142061,2556,1949,0.008653132,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aged year or,-1,1,1,1,0,0.194041,160,1956,0.0054535,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aggressive,-1,1,2,0,3,0.111002,6272,1949,0.795469325,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aid,-1,21,9,4,2,0.0732162,17051,1937,4.23E-06,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,air,-1,21,4,1,1,0.130434,29306,1949,0.147379092,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,albumin,-1,4,4,2,4,0.150476,17553,1949,0.904955518,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,allow,-1,1,3,1,0,0.0677239,2418,1916,0.083856408,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,alpha,-1,4,5,3,2,0.0830075,127808,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,alteration,-1,6,4,2,1,0.0655171,33035,1949,0.998789555,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,alternative,-1,1,17,1,1,0.0823289,25415,1949,0.454826752,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,american,-1,2,1,0,1,0.0924957,39995,1949,0.999999999,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,amp,-1,7,3,99999,2,0.0958101,43022,1949,0.999986608,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,amp surgical treatment,-1,1,1,99999,0,0.666667,52,1955,0.000604605,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,amplitude,-1,2,1,1,0,0.125631,4089,1949,0.522553143,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,amylase,-1,1,1,1,4,0.184642,6267,1949,0.924520443,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anaesthesia,-1,3,8,4,2,0.174705,14451,1949,0.389156154,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anaesthetic,-1,1,2,1,1,0.160209,5943,1949,0.764964342,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analgesia,-1,1,5,3,2,0.2456,12438,1949,0.843940153,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis,-1,80,97,27,2,0.0609878,280999,1940,0.838430278,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis a,-1,1,2,0,2,0.0851788,10142,1949,0.967126566,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis case,-1,19,9,5,3,0.132548,7321,1949,7.99E-13,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis clinical,-1,1,1,0,3,0.101873,1676,1950,0.313393531,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis consecutive,-1,1,2,0,2,0.159671,515,1949,0.005442281,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis consecutive case,-1,1,1,0,0,0.162214,256,1949,0.013376173,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis patient,-1,1,3,0,3,0.148348,2590,1940,0.101183126,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis risk factor,-1,2,3,5,0,0.18831,513,1973,3.15E-05,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,analysis surgical,-1,2,1,0,0,0.158578,299,1950,0.001186601,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anastomosis,0,1,12,1,3,0.191303,10299,1938,0.026174558,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anatomic,-1,20,9,7,2,0.0910188,7306,1949,1.29E-13,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anatomical,-1,7,8,1,2,0.0758314,11980,1949,0.019117759,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anatomo clinical,-1,2,1,0,1,0.0872301,2234,1950,0.194052753,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anatomy,-1,7,2,0,3,0.0819767,15961,1949,0.749700575,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anemia,3,2,2,0,2,0.170098,28153,1949,0.999992775,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anesthesia,-1,13,26,13,3,0.179685,42456,1949,0.039011757,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anesthesia a,-1,1,3,0,2,0.165281,1581,1949,0.023563334,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anesthesiologic,-1,1,1,0,1,0.187253,457,1950,0.039004384,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anesthesiological,-1,1,1,0,1,0.189074,602,1949,0.063523844,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anesthetic,-1,1,10,1,1,0.163556,14191,1949,0.367258199,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aneurysm,-1,1,5686,2,2,0.257617,36276,1949,0,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,angiogram,-1,1,2,0,1,0.182908,981,1951,0.029879935,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,angiographic,-1,4,14,1,1,0.175578,8558,1950,3.65E-05,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,angiography,0,20,65,9,1,0.188899,18320,1949,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,angiography report,-1,1,1,0,0,0.231884,55,1954,0.000675468,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,animal,-1,9,4,3,2,0.122115,66119,1913,0.999999993,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,animal model,-1,3,4,1,1,0.0943491,7964,1954,0.296534847,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,annular,-1,3,2,0,1,0.144098,1711,1949,0.006697655,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anomalous,-1,1,7,2,1,0.16715,6094,1949,0.05881088,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anomaly,-1,5,6,2,1,0.113203,16192,1949,0.534793378,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anterior,-1,43,5,3,3,0.106807,37773,1938,4.77E-05,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anti,-1,3,6,2,1,0.0936969,76261,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,anti inflammatory,-1,1,4,1,1,0.164979,10597,1950,0.841955674,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,antibody,-1,4,5,0,2,0.157127,149119,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,antioxidant,-1,1,2,1,2,0.200697,12944,1949,0.992436911,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,antitrypsin,-1,1,1,0,1,0.243502,781,1949,0.098943798,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apical,-1,1,1,99999,1,0.106912,4736,1949,0.829370214,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apoptosis,-1,5,4,4,1,0.168976,31227,1972,0.998981802,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apparently,-2,1,1,99999,1,0.0594238,2528,1942,0.509992931,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,appearance,-1,10,4,5,2,0.0813964,13404,1936,0.077389188,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,applicability,-1,1,2,99999,1,0.0584451,1736,1949,0.115047875,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,application,-1,25,14,2,1,0.049107,87719,1928,0.997952958,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,application a,-1,2,1,0,0,0.0582983,5065,1938,0.665437455,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,approach,-1,18,64,12,2,0.0512291,85266,1937,0.001488829,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,approach management,-1,2,1,0,2,0.0765975,1097,1950,0.039480197,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apropos,-1,40,13,6,0,0.0919753,31260,1951,4.35E-09,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apropos a,-1,2,8,0,0,0.0825798,9473,1959,0.114981903,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apropos a case,-1,2,7,0,0,0.0838683,7148,1959,0.057933119,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,apropos case,-1,29,4,2,1,0.102994,12812,1958,2.37E-10,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,arachnodactyly,-1,2,1,99999,2,0.307843,160,1950,0.000195004,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,area,-1,8,7,1,2,0.0677348,48974,1902,0.999849548,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,arising,-1,1,2,0,0,0.102623,5753,1949,0.745717021,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,arterial,-1,2,46,1,1,0.138866,60964,1949,0.16462162,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,arterial hypertension,0,1,1,99999,2,0.178536,9667,1949,0.989115289,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,arteriosclerosis,3,1,9,99999,1,0.192573,5399,1949,0.004445766,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,artery,-1,6,274,6,1,0.133168,109999,1949,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,artery occlusion,-1,1,8,1,1,0.154608,3797,1950,0.001371691,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,artery surgery,0,1,2,1,3,0.213187,1102,1951,0.039925083,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,artificial,-1,5,1,99999,1,0.0865918,22762,1925,0.99788808,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,asian,-1,4,2,2,1,0.145755,5011,1954,0.12825402,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,aspect,-1,46,18,5,0,0.0467788,106823,1948,0.849507915,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,assessment,-1,7,55,7,1,0.0695406,89041,1949,0.427583189,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,assisted,-1,7,21,1,0,0.10312,16196,1932,1.18E-05,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated,-1,177,205,59,1,0.0525344,176658,1937,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated a,-1,4,17,2,0,0.0599052,5751,1949,1.19E-09,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated acute,-1,5,1,2,1,0.0879904,1378,1950,0.000413169,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated chronic,-1,3,1,0,1,0.0676199,1503,1949,0.020044004,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated congenital,-1,4,4,0,1,0.102762,808,1950,1.22E-07,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated high,-1,1,2,0,2,0.054006,671,1950,0.011139352,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,associated severe,-1,2,1,1,1,0.0618195,749,1950,0.014906558,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,association,-1,12,39,8,2,0.0644353,72061,1940,0.392814051,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,asymptomatic,-1,5,17,8,1,0.106684,9483,1949,1.15E-06,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,atherosclerosis,-1,1,15,2,1,0.197538,16031,1949,0.08464807,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,atmospheric,-1,1,1,99999,4,0.180534,4045,1949,0.757950042,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,attempt,-1,2,2,0,0,0.0607483,9300,1934,0.873043652,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,attitude,-1,1,2,1,1,0.188593,19689,1947,0.999831127,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,atypical,-1,3,11,0,1,0.0801678,15564,1946,0.177214812,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,audit,-1,7,13,10,1,0.163691,5708,1950,5.76E-09,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,author,-1,178,42,10,2,0.0581524,134472,1928,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,author transl,-1,178,39,10,1,0.0585472,131880,1965,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,autoimmune,-1,3,4,2,1,0.148936,17679,1951,0.953191048,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,autoimmunity,-1,3,1,0,2,0.214928,4000,1958,0.287321205,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,autologous,-1,2,13,1,1,0.161837,12459,1951,0.025779163,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,autopsy,-1,1,15,0,1,0.124234,10561,1949,0.002930429,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,autosomal dominant,-1,4,4,1,1,0.229913,3114,1955,0.001516642,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,avoidable,-1,1,2,1,0,0.112348,639,1949,0.009774289,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,avoidance,-1,1,1,0,1,0.177694,5953,1932,0.910438303,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,axial,-1,16,5,2,1,0.0847947,5045,1949,1.20E-10,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,bacterial,3,3,11,2,1,0.108555,48125,1949,0.999913248,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,balance,-1,1,3,0,2,0.117609,14254,1949,0.98660975,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,balloon,-1,17,16,11,2,0.195658,10463,1950,1.37E-12,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,balloon a,-1,1,1,99999,0,0.201271,93,1953,0.001898594,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,balloon catheter,-1,2,4,2,0,0.180388,1236,1950,0.000233293,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,bare,-1,1,3,0,3,0.10052,334,1950,9.08E-05,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,barrier,-1,10,1,1,7,0.098258,14832,1949,0.421384419,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,base,-1,1,4,1,2,0.104165,29964,1936,0.999986433,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,based,-1,10,40,13,0,0.0626413,88185,1909,0.908918764,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,basic,-1,7,2,4,2,0.0758595,28454,1949,0.996679976,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,basic fibroblast growth,-1,2,1,1,4,0.174369,2724,1981,0.280936287,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,basis,-1,4,5,1,1,0.0646591,25272,1934,0.988095882,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,beam,-1,2,2,1,4,0.200194,7449,1950,0.740545474,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,bed,-1,1,1,0,2,0.0887012,9343,1949,0.986841396,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,behavior,-1,10,4,1,2,0.0815533,88464,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,behcet,2,1,22,1,1,0.126295,3883,1950,1.40E-14,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,behcet disease,0,1,20,1,1,0.120501,2883,1953,3.77E-15,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,benign,-1,2,1,0,1,0.12096,24218,1940,0.9999884,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,best,-1,2,4,0,0,0.0611172,6837,1936,0.318718814,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,beta,-1,2,5,0,3,0.0807616,138498,1949,1,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,better,-1,1,3,0,1,0.0578359,10635,1940,0.927881237,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,bilateral,-1,119,22,14,1,0.0870169,27293,1902,0,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,bilateral bullous,-1,5,1,0,2,0.280488,18,1954,4.44E-15,0,0,,,,,,,,,,,,,,
